Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Duration_mm,Duration_ss
Lady,Fela Kuti,Shakara,1978-01-01,828360,4,0.737,0.871,C# / Db,-7.863,Major,0.0516,0.207,0.000114,0.0887,0.542,106.78,38,13,48.36
No Agreement,Fela Kuti,No Agreement,1977-01-01,931600,4,0.77,0.831,A# / Bb,-5.405,Minor,0.116,0.147,0.181,0.244,0.823,99.368,32,15,31.60
Roforofo Fight,Fela Kuti,Roforofo Fight,1977-01-01,941106,4,0.594,0.923,F,-5.805,Minor,0.0787,0.0396,0.00557,0.0564,0.724,123.866,27,15,41.11
Shakara (Oloje),Fela Kuti,Shakara,1978-01-01,805733,4,0.648,0.714,A# / Bb,-6.627,Minor,0.0411,0.272,0.047,0.216,0.596,119.992,35,13,25.73
Sorrow Tears and Blood,Fela Kuti,Sorrow Tears & Blood,1975-01-01,615906,4,0.822,0.803,F,-5.574,Minor,0.22,0.152,0.00449,0.157,0.83,101.184,32,10,15.91
Water No Get Enemy,Fela Kuti,The Best of the Black President,1975-01-01,591693,4,0.639,0.926,A# / Bb,-7.714,Minor,0.0585,0.11,0.0245,0.0901,0.889,91.021,52,9,51.69
Zombie,Fela Kuti,Zombie,1976-01-01,745653,4,0.671,0.942,G,-5.141,Major,0.187,0.386,0.014,0.384,0.572,131.442,47,12,25.65
A Man and a Woman,Herbie Mann,It's a Funky Thing: The Very Best of Herbie Mann,1964-01-01,145479,4,0.272,0.36,F# / Gb,-16.714,Minor,0.0342,0.827,0.211,0.113,0.571,147.514,11,2,25.48
Batida diferente,Herbie Mann,Latin Fever,1965-01-01,314546,4,0.723,0.341,G# / Ab,-16.29,Major,0.13,0.824,0.912,0.168,0.88,91.704,30,5,14.55
Comin' Home Baby,Herbie Mann,Atlantic Jazz: Soul,1962-01-01,519600,4,0.651,0.143,F,-22.617,Major,0.0531,0.752,0.421,0.138,0.601,78.792,42,8,39.60
Funky Nassau,Herbie Mann,Push Push (feat. Duane Allman),1971-01-01,294066,4,0.54,0.376,D,-19.531,Minor,0.0445,0.0864,0.343,0.105,0.941,78.468,12,4,54.07
"Hold On, I'm Coming",Herbie Mann,Memphis Underground,1969-01-01,535333,4,0.497,0.616,A# / Bb,-14.064,Minor,0.0456,0.0365,0.866,0.11,0.759,133.569,20,8,55.33
Memphis Underground,Herbie Mann,Memphis Underground,1969-01-01,429000,4,0.779,0.411,F,-17.37,Major,0.0322,0.626,0.853,0.0848,0.941,113.08,36,7,9.00
Aquellos Ojos Verdes,Ibrahim Ferrer,Ibrahim Ferrer (Buena Vista Social Club Presents),2003-01-01,294293,4,0.355,0.258,D,-12.952,Major,0.0294,0.846,0.003,0.155,0.27,82.183,48,4,54.29
"Ay, Candela",Ibrahim Ferrer,"Ay, Candela",2002-01-01,203013,4,0.679,0.539,A,-12.26,Minor,0.0467,0.672,0.0168,0.054,0.934,107.309,36,3,23.01
Bruca Maniguá,Ibrahim Ferrer,Ibrahim Ferrer (Buena Vista Social Club Presents),2003-01-01,284320,4,0.499,0.371,A# / Bb,-11.624,Major,0.0449,0.836,0.00557,0.131,0.684,110.274,53,4,44.32
Marieta,Ibrahim Ferrer,Ibrahim Ferrer (Buena Vista Social Club Presents),2001-01-01,355040,4,0.592,0.545,A,-7.091,Major,0.0746,0.831,0.0,0.155,0.713,79.073,47,5,55.04
Qué Bueno Baila Usted,Ibrahim Ferrer,Ibrahim Ferrer (Buena Vista Social Club Presents),1999-01-01,279333,4,0.595,0.746,F,-4.733,Major,0.0452,0.584,0.0,0.0703,0.712,87.363,45,4,39.33
BO'EE - Asher Swissa & Anorre Remix,Idan Raichel,BO'EE (Asher Swissa & Anorre Remix),2008-01-01,186393,4,0.642,0.8,C,-7.118,Major,0.0369,0.0379,0.115,0.296,0.404,121.994,29,3,6.39
Boee (Come To Me),Idan Raichel,The Idan Raichel Project,2002-01-01,266600,4,0.762,0.672,F,-5.157,Major,0.0317,0.334,6.44e-05,0.192,0.57,115.977,29,4,26.60
Mi'Ma'amakim (Out of the Depths),Idan Raichel,Mi'Ma'amakim (Out of the Depths),2005-01-01,350400,3,0.415,0.739,B,-7.441,Major,0.0524,0.642,0.0,0.159,0.386,179.692,15,5,50.40
Ve'Eem Tavo'ee Elay (And If You Will Come To Me),Idan Raichel,And If You Will Come To Me,2007-01-01,212800,4,0.727,0.875,C# / Db,-5.273,Minor,0.0326,0.504,0.0,0.0995,0.232,112.023,41,3,32.80
Mandram Vandha,Ilaiyaraaja,Mouna Ragam (Original Motion Picture Soundtrack),1985-01-01,287279,4,0.649,0.291,D,-11.807,Major,0.0341,0.769,0.0475,0.145,0.285,115.769,46,4,47.28
Nila Adhu Vanathumele,Ilaiyaraaja,Nayagan (Original Motion Picture Soundtrack),1986-01-01,301267,4,0.743,0.667,F,-6.956,Major,0.0519,0.746,0.706,0.135,0.943,175.558,57,5,1.27
Nilaave Vaa,Ilaiyaraaja,Mouna Ragam (Original Motion Picture Soundtrack),1991-01-01,277146,4,0.666,0.297,E,-10.131,Major,0.0318,0.83,0.0232,0.175,0.502,111.993,47,4,37.15
Thendral Vandhu,Ilaiyaraaja,Thendrale Ennai Thodu (Original Motion Picture Soundtrack),1990-01-01,256066,4,0.767,0.337,A,-13.322,Major,0.0326,0.728,0.00906,0.0988,0.895,112.512,49,4,16.07
Thenpandi Cheemayile,Ilaiyaraaja,Nayagan (Original Motion Picture Soundtrack),1983-01-01,272639,3,0.462,0.217,E,-11.436,Minor,0.0466,0.873,0.0,0.339,0.388,120.971,55,4,32.64
El aparecido,Inti-Illimani,Performs Victor Jara,1971-01-01,215999,3,0.367,0.53,B,-10.456,Minor,0.0498,0.457,2.17e-06,0.966,0.236,145.466,10,3,36.00
El Canto de Todos - Bonus Track,Inti-Illimani,El Canto de Todos,1976-01-01,41880,3,0.889,0.489,D,-8.206,Minor,0.0557,0.557,0.0,0.0901,0.961,125.055,45,0,41.88
La fiesta de la tirana,Inti-Illimani,The Best Of,1999-01-01,191999,4,0.571,0.412,A,-12.198,Minor,0.0391,0.898,0.512,0.671,0.556,104.139,7,3,12.00
Vuelvo,Inti-Illimani,"Lo Mejor de la Musica Andina, Vol. 11",1995-01-01,197093,3,0.683,0.147,A,-22.698,Minor,0.0368,0.892,6.81e-06,0.107,0.42,128.719,29,3,17.09
Jammu Africa,Ismaël Lô,Jammu Africa,2004-01-01,301866,4,0.538,0.377,B,-9.414,Minor,0.031,0.699,0.000356,0.144,0.541,79.692,42,5,1.87
Nafanta,Ismaël Lô,Iso,2005-01-01,255133,4,0.724,0.621,E,-13.022,Minor,0.0532,0.0406,0.143,0.213,0.194,93.97,27,4,15.13
Tadieu Bone,Ismaël Lô,Natt,2000-01-01,263440,3,0.312,0.2,A,-15.33,Minor,0.0304,0.731,6.92e-05,0.0694,0.438,163.319,39,4,23.44
Tajabone,Ismaël Lô,Jammu Africa,1999-01-01,241266,3,0.29,0.3,A,-9.935,Minor,0.0341,0.843,0.000129,0.182,0.303,158.199,40,4,1.27
Bomba,Jah Wobble's Invaders Of The Heart,Rising Above Bedlam,1987-01-01,355626,4,0.69,0.597,C,-14.919,Major,0.0623,0.0313,0.0408,0.146,0.773,99.702,12,5,55.63
Visions of You,Jah Wobble's Invaders Of The Heart,Rising Above Bedlam,2000-01-01,336093,4,0.545,0.512,G,-12.272,Major,0.026,0.00735,0.869,0.0629,0.668,90.508,28,5,36.09
A Remark You Made - Live,Joe Zawinul,Brown Street (Live),2003-01-01,486640,4,0.268,0.441,G# / Ab,-8.326,Major,0.0427,0.886,0.925,0.891,0.119,105.234,5,8,6.64
Birdland,Joe Zawinul,Quartetto Torres : Guitars,1982-01-01,259306,4,0.645,0.177,C,-22.611,Major,0.0824,0.873,0.86,0.274,0.561,83.478,9,4,19.31
Black Market - Live,Joe Zawinul,Brown Street (Live),1980-01-01,451133,4,0.401,0.942,A# / Bb,-5.01,Major,0.0925,0.644,0.606,0.839,0.709,104.059,8,7,31.13
In a Silent Way,Joe Zawinul,Zawinul,1969-01-01,285920,3,0.167,0.234,A,-14.887,Major,0.0323,0.401,0.726,0.241,0.0892,70.11,19,4,45.92
"Mercy, Mercy, Mercy",Joe Zawinul,Helmut Jasbar: Live at the Havana Guitar Festival,1966-01-01,221746,4,0.52,0.334,E,-17.854,Major,0.0552,0.956,0.876,0.67,0.407,107.532,9,3,41.75
The Harvest,Joe Zawinul,Dialects,2002-01-01,362800,4,0.659,0.547,C# / Db,-12.746,Major,0.035,0.134,0.00147,0.112,0.4,129.387,12,6,2.80
A Woman Clothed With the Sun,John Zorn,A Vision in Blakelight,2004-01-01,320160,4,0.475,0.175,G,-19.774,Major,0.039,0.776,0.828,0.0949,0.447,137.013,1,5,20.16
Hellfire,John Zorn,Moonchild,2004-01-01,245133,3,0.3,0.985,A# / Bb,-5.534,Major,0.231,0.000246,0.872,0.0593,0.123,109.509,5,4,5.13
In Sorrow’s Eye,John Zorn,Her Melodious Lay,2003-01-01,245889,4,0.586,0.228,C,-16.003,Minor,0.0356,0.94,0.904,0.111,0.21,115.315,25,4,5.89
Innocent Sleep,John Zorn,Her Melodious Lay,2003-01-01,388155,4,0.401,0.223,G,-15.79,Major,0.0399,0.959,0.808,0.0965,0.139,92.186,22,6,28.15
Lilin,John Zorn,Electric Masada - At the Mountain of Madness,2004-01-01,974093,3,0.322,0.928,G# / Ab,-4.183,Major,0.158,0.00998,0.465,0.887,0.344,120.03,12,16,14.09
Switch,John Zorn,Locus Solus,1999-01-01,135106,4,0.645,0.793,C,-12.922,Major,0.398,0.796,0.000356,0.466,0.423,128.307,0,2,15.11
The Big Gundown,John Zorn,The Big Gundown - 15th Anniversary Special Edition,1985-01-01,446533,4,0.419,0.614,D,-11.897,Major,0.175,0.176,0.446,0.0813,0.196,116.428,8,7,26.53
"Caracas Night September 11, 1975",Jon Hassell,Vernal Equinox (Remastered),2000-01-01,127040,3,0.324,0.303,F,-21.723,Minor,0.112,0.888,0.0283,0.287,0.565,95.848,29,2,7.04
Last Night The Moon Came,Jon Hassell,Last Night The Moon Came Dropping Its Clothes In The Street,2002-01-01,675853,4,0.157,0.0786,E,-25.886,Minor,0.0351,0.95,0.931,0.0639,0.0356,79.99,28,11,15.85
Power Spot,Jon Hassell,Power Spot,1986-01-01,427533,5,0.697,0.398,C,-20.602,Major,0.17,0.14,0.767,0.0874,0.595,151.323,13,7,7.53
Voiceprint (Blind From The Facts),Jon Hassell,City: Works Of Fiction,1989-01-01,348333,4,0.487,0.629,G,-10.924,Major,0.0594,0.0151,0.00748,0.122,0.424,111.629,4,5,48.33
Assurance,Jon Stefans,Assurance,2005-01-01,176258,4,0.154,0.0157,A# / Bb,-36.178,Major,0.0467,0.909,0.964,0.108,0.18,134.931,58,2,56.26
Animal Arithmetic,Jónsi,Go,2009-01-01,203760,4,0.392,0.93,F,-6.314,Major,0.0627,0.00262,3.26e-06,0.0752,0.495,157.808,20,3,23.76
Boy Lilikoi,Jónsi,Go,2009-01-01,269760,4,0.443,0.839,A# / Bb,-6.049,Major,0.0558,0.164,0.00015,0.0616,0.305,144.903,24,4,29.76
Go Do,Jónsi,Go,2009-01-01,280640,4,0.464,0.712,E,-6.558,Major,0.0453,0.247,0.000135,0.598,0.338,139.995,32,4,40.64
Hengilás,Jónsi,Go,2009-01-01,255346,4,0.18,0.17,A# / Bb,-14.803,Major,0.0322,0.801,0.154,0.0977,0.128,88.77,21,4,15.35
Kolniður,Jónsi,Go,2009-01-01,235960,4,0.343,0.552,D,-8.073,Minor,0.0319,0.416,0.248,0.122,0.119,107.977,19,3,55.96
Sticks and Stones - Live in Brighton,Jónsi,Go Live,2009-01-01,259666,4,0.171,0.721,C# / Db,-6.145,Minor,0.0787,0.00123,0.00255,0.98,0.157,167.347,6,4,19.67
Tornado,Jónsi,Go,2008-01-01,254973,4,0.138,0.441,A,-11.205,Minor,0.0328,0.44,0.648,0.0893,0.0581,90.015,25,4,14.97
For All We Know,Karl-Martin Almqvist,A Ballad Moment: Second View,1992-01-01,170202,4,0.456,0.122,D# / Eb,-14.506,Major,0.035,0.891,0.0189,0.0939,0.259,99.856,40,2,50.20
Moonlight in Vermont,Karl-Martin Almqvist,A Ballad Moment,2000-01-01,317545,4,0.476,0.24,G# / Ab,-9.212,Major,0.0358,0.886,0.632,0.237,0.187,110.15,36,5,17.55
A New England,Kirsty MacColl,The Stiff Singles Collection,1985-01-01,232853,4,0.454,0.734,G,-10.921,Major,0.0375,0.195,0.000184,0.321,0.865,165.001,39,3,52.85
All I Ever Wanted,Kirsty MacColl,Electric Landlady (Deluxe Edition),1989-01-01,230226,4,0.604,0.825,G,-7.461,Major,0.0278,0.396,0.00663,0.218,0.929,142.569,10,3,50.23
Days,Kirsty MacColl,Kite (Deluxe Edition),1989-01-01,180466,4,0.563,0.641,A,-6.627,Major,0.0253,0.193,0.0,0.121,0.708,97.996,40,3,0.47
Innocence,Kirsty MacColl,Kite (Deluxe Edition),1990-01-01,249786,4,0.416,0.929,C,-4.379,Major,0.117,0.31,0.0,0.896,0.72,179.115,16,4,9.79
There's A Guy Works Down The Chip Shop Swears He's Elvis,Kirsty MacColl,Desperate Character,1981-01-01,189356,4,0.369,0.949,A,-8.86,Major,0.131,0.641,0.0067,0.287,0.394,172.823,36,3,9.36
They Don’t Know,Kirsty MacColl,The Stiff Singles Collection,1981-01-01,186226,4,0.552,0.556,B,-9.474,Major,0.0329,0.277,0.0,0.147,0.815,112.267,31,3,6.23
Titanic Days,Kirsty MacColl,Titanic Days,1985-01-01,343333,4,0.304,0.742,E,-9.43,Major,0.0359,0.114,0.00127,0.0811,0.396,104.355,11,5,43.33
Eduze NeNkosi,Ladysmith Black Mambazo,My Dream - African Sounds,1989-01-01,247853,4,0.413,0.636,D# / Eb,-7.021,Major,0.201,0.882,0.0,0.678,0.538,120.712,1,4,7.85
Mbube (The Lion Sleeps Tonight),Ladysmith Black Mambazo,Gift Of The Tortoise: A Musical Journey Through Southern Africa,1987-01-01,190040,4,0.44,0.212,C# / Db,-17.254,Major,0.0747,0.917,0.0,0.205,0.711,104.349,19,3,10.04
Mbube (Wimoweh),Ladysmith Black Mambazo,Africa in Harmony: 50th Anniversary Edition,1987-01-01,181099,4,0.552,0.499,F,-8.396,Major,0.0401,0.94,0.0,0.115,0.657,102.425,34,3,1.10
Mbude,Ladysmith Black Mambazo,Ladysmith Black Mambazo & Friends,2001-01-01,238720,4,0.485,0.379,D# / Eb,-7.429,Major,0.0316,0.9,0.0,0.203,0.665,109.48,6,3,58.72
Shosholoza,Ladysmith Black Mambazo,Ladysmith Black Mambazo & Friends,1996-01-01,291293,4,0.41,0.556,A# / Bb,-6.698,Major,0.0299,0.834,3.28e-06,0.278,0.435,95.23,14,4,51.29
A Lotus on Irish Streams (with John McLaughlin) - Remastered,Mahavishnu Orchestra,The Inner Mounting Flame,1973-01-01,339360,4,0.297,0.277,A# / Bb,-16.631,Major,0.0381,0.963,0.848,0.126,0.167,90.029,17,5,39.36
Meeting of the Spirits (with John McLaughlin) - Remastered,Mahavishnu Orchestra,The Inner Mounting Flame,1973-01-01,411986,4,0.224,0.754,G,-9.918,Major,0.0679,0.0324,0.57,0.148,0.441,126.502,23,6,51.99
The Dance of Maya (with John McLaughlin) - Remastered,Mahavishnu Orchestra,The Inner Mounting Flame,2002-01-01,436506,3,0.279,0.706,A,-9.49,Major,0.0388,0.0453,0.931,0.288,0.278,129.15,17,7,16.51
King Kong Five,Mano Negra,Puta's Fever,1988-01-01,117706,4,0.695,0.889,A# / Bb,-8.945,Minor,0.146,0.358,0.0,0.059,0.84,106.874,44,1,57.71
Mala Vida,Mano Negra,Patchanka,1988-01-01,174973,4,0.591,0.813,A,-9.205,Minor,0.0402,0.187,1.82e-05,0.372,0.818,128.698,56,2,54.97
Out of Time Man,Mano Negra,King Of Bongo,1991-01-01,204960,4,0.646,0.428,F,-8.521,Major,0.0357,0.0735,0.0,0.132,0.447,141.904,56,3,24.96
Ronde de nuit,Mano Negra,Patchanka,1988-01-01,177706,4,0.593,0.911,A,-10.216,Minor,0.0577,0.0141,2.44e-05,0.0464,0.471,121.236,30,2,57.71
Santa Maradona (Larchuma Football Club),Mano Negra,Casa Babylon,1994-01-01,195960,4,0.347,0.974,A,-4.287,Major,0.122,0.142,0.000111,0.959,0.622,119.917,38,3,15.96
Senor Matanza,Mano Negra,Casa Babylon,1994-01-01,237640,4,0.722,0.908,C,-7.396,Major,0.05,0.000434,0.0644,0.119,0.413,191.832,48,3,57.64
Bongo Bong,Manu Chao,Clandestino,1998-01-01,158426,4,0.755,0.545,A,-10.027,Minor,0.0646,0.944,0.000118,0.144,0.964,149.807,71,2,38.43
Bongo Bong - Je ne t'aime plus (Francis Mercier Remix),Manu Chao,Bongo Bong - Je ne t'aime plus (Francis Mercier Remix),2012-01-01,184218,4,0.823,0.921,A,-3.783,Minor,0.0416,0.0207,0.327,0.407,0.884,128.004,50,3,4.22
Clandestino,Manu Chao,Clandestino,1998-01-01,149173,4,0.68,0.594,F# / Gb,-6.417,Minor,0.0688,0.469,0.0,0.431,0.774,85.04,67,2,29.17
Desaparecido,Manu Chao,Clandestino,1998-01-01,227160,4,0.591,0.627,A,-6.903,Minor,0.0935,0.669,0.0,0.127,0.741,191.944,62,3,47.16
La Primavera,Manu Chao,Próxima Estación: Esperanza,1999-01-01,112533,4,0.564,0.609,B,-8.26,Minor,0.0865,0.709,0.00829,0.535,0.813,175.791,55,1,52.53
La Vida Tombola,Manu Chao,La Radiolina,2001-01-01,196066,4,0.638,0.784,E,-8.321,Minor,0.0403,0.13,0.0139,0.256,0.963,93.971,54,3,16.07
Me Gustas Tu,Manu Chao,Próxima Estación: Esperanza,1998-01-01,239986,4,0.657,0.741,B,-6.822,Minor,0.0825,0.663,0.494,0.222,0.908,175.949,81,3,59.99
Mentira,Manu Chao,Clandestino,2003-01-01,277013,4,0.604,0.579,F,-8.3,Minor,0.045,0.474,8.9e-06,0.531,0.793,75.942,58,4,37.01
Peligro - Live,Manu Chao,Radio Bemba Sound System (Live),2002-01-01,189440,4,0.543,0.944,D,-4.896,Major,0.0814,0.00609,2.24e-06,0.924,0.498,92.655,40,3,9.44
Dawning of the Day,Mary Fahl,Love & Gravity,1997-01-01,235036,5,0.26,0.11,G# / Ab,-13.3,Major,0.0357,0.876,0.0,0.108,0.142,79.199,28,3,55.04
Going Home,Mary Fahl,The Other Side of Time,1997-01-01,288733,3,0.211,0.288,A,-7.456,Major,0.03,0.773,0.00019,0.0929,0.0625,92.541,27,4,48.73
Fani - Tevhid,Mercan Dede,"Dünya, Vol. 1 (Gün Doğumu)",2000-01-01,467400,4,0.729,0.4,G# / Ab,-13.509,Major,0.0633,0.107,0.0033,0.132,0.198,129.981,20,7,47.40
Halitus,Mercan Dede,Nefes,2000-01-01,238906,4,0.615,0.348,B,-15.982,Major,0.0362,0.739,0.849,0.156,0.293,120.018,29,3,58.91
Hidrelez - Dream of Perhan,Mercan Dede,Sufi Dreams,2000-01-01,937853,3,0.0788,0.0814,B,-20.904,Major,0.0391,0.776,0.677,0.0909,0.035,75.628,18,15,37.85
Mevlana Jalaluddin Rumi - Dream of Shams,Mercan Dede,Sufi Dreams,2000-01-01,556226,4,0.681,0.332,A# / Bb,-16.19,Major,0.0395,0.531,0.0956,0.0953,0.232,88.0,21,9,16.23
Napas,Mercan Dede,Nefes,2000-01-01,263360,4,0.653,0.51,C,-11.76,Major,0.037,0.00381,4.03e-05,0.104,0.324,99.001,33,4,23.36
Nar-1 Ney,Mercan Dede,Sufi Traveler,2000-01-01,578432,4,0.598,0.796,G,-10.138,Major,0.0599,0.394,0.335,0.46,0.15,114.696,7,9,38.43
Nar-ı Aşk,Mercan Dede,Secret Tribe - Nar,2000-01-01,535600,4,0.671,0.774,A# / Bb,-11.975,Minor,0.051,0.829,0.859,0.127,0.634,120.824,17,8,55.60
Neyname,Mercan Dede,Seyahatname,2000-01-01,716013,4,0.233,0.33,E,-14.971,Major,0.0367,0.746,0.459,0.105,0.0403,108.797,4,11,56.01
Bossa 31,Nicola Conte,Garota Moderna,2004-01-01,345756,4,0.667,0.872,D,-10.059,Major,0.0316,0.264,0.833,0.0924,0.964,96.008,37,5,45.76
Bossa Per Due,Nicola Conte,Jet Sounds,2004-01-01,352182,4,0.643,0.954,F,-9.66,Minor,0.0469,0.559,0.866,0.117,0.73,90.499,37,5,52.18
Like Leaves in the Wind,Nicola Conte,Rituals,2004-01-01,290493,4,0.651,0.791,C,-7.804,Minor,0.0313,0.613,0.0444,0.284,0.734,111.993,33,4,50.49
Sea and Sand,Nicola Conte,Other Directions (Remastered and Unreleased Tracks),2004-01-01,239226,4,0.666,0.411,F,-11.696,Major,0.0321,0.892,0.0374,0.118,0.508,119.918,38,3,59.23
Tribes from the Unknown,Nicola Conte,Let Your Light Shine On,2004-01-01,126442,3,0.679,0.562,C# / Db,-11.847,Major,0.0804,0.34,0.878,0.103,0.832,200.076,2,2,6.44
Ave Maria,Noa,Noa,2003-01-01,262133,4,0.319,0.119,E,-17.028,Major,0.0311,0.875,1.44e-06,0.111,0.0991,94.677,25,4,22.13
Beautiful That Way,Noa,Beautiful That Way,2001-01-01,157521,4,0.573,0.164,E,-12.046,Major,0.032,0.665,6.21e-05,0.293,0.644,131.187,35,2,37.52
Mishaela,Noa,Noa,2004-01-01,188933,4,0.42,0.242,C,-15.891,Major,0.0341,0.847,2.41e-05,0.143,0.255,100.234,21,3,8.93
Allah Hoo Allah Hoo,Nusrat Fateh Ali Khan,30 Greatest Hits Nusrat Fateh Ali Khan and Sabri Brothers,1987-01-01,953480,4,0.496,0.593,D,-12.877,Major,0.0643,0.58,0.113,0.309,0.699,109.068,17,15,53.48
Dillagi,Nusrat Fateh Ali Khan,Dillagi,1989-01-01,365171,4,0.638,0.726,C# / Db,-6.717,Major,0.0457,0.0206,2.13e-05,0.376,0.31,79.991,38,6,5.17
Kinna Sohna Tenu,Nusrat Fateh Ali Khan,"Nusrat Fateh Ali Khan, Vol. 32",1989-01-01,627362,4,0.478,0.623,G# / Ab,-8.324,Major,0.0758,0.276,1.9e-06,0.366,0.691,109.318,33,10,27.36
Mast Nazron Se Allah Bachae,Nusrat Fateh Ali Khan,"The Best of Shahenshah-E-Qawwali, Vol. 1",1989-01-01,380796,4,0.379,0.806,C# / Db,-6.665,Major,0.0837,0.152,0.0,0.502,0.613,105.124,47,6,20.80
Mera Piya Ghar Aaya,Nusrat Fateh Ali Khan,30 Greatest Hits Nusrat Fateh Ali Khan and Sabri Brothers,1987-01-01,685987,4,0.504,0.714,F,-10.755,Major,0.0598,0.454,0.0146,0.834,0.811,122.005,19,11,25.99
Tere Bin Nahin Lagda - Remix,Nusrat Fateh Ali Khan,Tere Bin Nahin Lagda Dil Mera - Best Hits,1999-01-01,343186,5,0.506,0.91,F,-6.903,Major,0.0653,0.0602,0.000114,0.129,0.0901,126.629,31,5,43.19
Yeh Jo Halka Halka Suroor Hai,Nusrat Fateh Ali Khan,30 Greatest Hits Nusrat Fateh Ali Khan and Sabri Brothers,1993-01-01,1394311,4,0.52,0.591,D# / Eb,-13.536,Major,0.06,0.397,0.0,0.632,0.831,136.768,28,23,14.31
Fatamorgana - Mirage,Ofra Haza,Desert Wind,1984-01-01,301733,4,0.665,0.299,D# / Eb,-15.428,Major,0.0278,0.655,0.00182,0.186,0.423,114.011,2,5,1.73
Galbi,Ofra Haza,Yemenite Songs,1997-01-01,254573,4,0.472,0.86,G,-9.373,Minor,0.268,0.404,0.00258,0.142,0.452,81.799,17,4,14.57
Im Nin Alu-2000,Ofra Haza,Ofra Haza,2000-01-01,217493,4,0.475,0.714,C,-7.82,Major,0.0373,0.00993,0.0196,0.0779,0.568,183.991,35,3,37.49
Im Nin'alu,Ofra Haza,Yemenite Songs,1984-01-01,318240,4,0.676,0.926,C,-10.471,Major,0.0668,0.427,0.0202,0.0555,0.518,163.353,32,5,18.24
Love Song - Givin' U Some Pleasure Remix,Ofra Haza,Love Song,1992-01-01,535916,4,0.743,0.753,A,-9.312,Minor,0.0548,0.0276,0.915,0.0636,0.294,127.995,1,8,55.92
Taw Shi,Ofra Haza,Desert Wind,1997-01-01,211266,4,0.593,0.869,F,-10.056,Minor,0.0362,0.0456,0.00276,0.429,0.754,104.033,1,3,31.27
Ya Ba Ye,Ofra Haza,Desert Wind,1989-01-01,307066,4,0.597,0.753,A# / Bb,-11.787,Minor,0.0345,0.266,2.63e-05,0.111,0.658,106.115,3,5,7.07
¿Dónde Estabas Tú?,Omara Portuondo,Omara Portuondo (Buena Vista Social Club Presents),2009-01-01,227413,4,0.73,0.317,D# / Eb,-11.644,Major,0.0611,0.736,0.00552,0.256,0.627,116.819,48,3,47.41
Cómo Fue,Omara Portuondo,Siempre Tu Voz: Homenaje a Benny Moré en Su Centenario,2008-01-01,207693,4,0.623,0.301,G,-8.889,Major,0.0348,0.649,0.00275,0.0789,0.367,81.975,21,3,27.69
Dos Gardenias,Omara Portuondo,Añejo Carta de Oro: 100 Joyas de la Música Tradicional Cubana,2000-01-01,202093,4,0.657,0.444,E,-13.019,Minor,0.059,0.74,8.41e-05,0.317,0.489,96.671,1,3,22.09
He Perdido Contigo,Omara Portuondo,Omara Portuondo (Buena Vista Social Club Presents),2000-01-01,229426,4,0.689,0.25,F,-13.698,Minor,0.0366,0.926,0.0182,0.142,0.81,126.67,42,3,49.43
No me Vayas a Engañar - 2019 Remaster,Omara Portuondo,Omara Portuondo (Buena Vista Social Club Presents) (2019 Remaster),2019-01-01,172800,4,0.534,0.31,E,-11.299,Minor,0.0689,0.912,0.00146,0.103,0.475,99.33,26,2,52.80
Veinte Años,Omara Portuondo,Omara Portuondo (Buena Vista Social Club Presents),1999-01-01,283600,4,0.489,0.166,E,-18.506,Minor,0.0439,0.933,0.308,0.146,0.332,87.878,38,4,43.60
Last Train Home,Pat Metheny Group,Still Life (Talking),1987-01-01,338186,3,0.377,0.488,A# / Bb,-14.652,Major,0.0301,0.677,0.92,0.0538,0.312,80.411,52,5,38.19
Letter From Home,Pat Metheny Group,Letter from Home,1989-01-01,153693,4,0.314,0.0898,G# / Ab,-21.063,Major,0.0488,0.965,0.878,0.1,0.126,44.757,41,2,33.69
Minuano (Six Eight),Pat Metheny Group,Still Life (Talking),1987-01-01,566426,3,0.34,0.367,E,-13.505,Minor,0.0307,0.825,0.0471,0.0536,0.3,155.899,39,9,26.43
Phase Dance,Pat Metheny Group,Pat Metheny Group,1982-01-01,499133,4,0.414,0.399,A,-18.852,Minor,0.0265,0.835,0.964,0.428,0.391,89.957,33,8,19.13
The Way Up: Opening & Part One,Pat Metheny Group,The Way Up,2005-01-01,1904453,4,0.407,0.41,C,-13.163,Major,0.0332,0.653,0.512,0.102,0.156,124.867,27,31,44.45
To the End of the World,Pat Metheny Group,We Live Here,1986-01-01,734133,4,0.532,0.54,G,-10.272,Minor,0.0281,0.343,0.828,0.0996,0.642,96.097,33,12,14.13
Bhebak W Shta'tellak Nar,Ragheb Alama,Habib Dehkati,2004-01-01,195364,4,0.444,0.836,C,-5.691,Minor,0.322,0.517,2.01e-06,0.135,0.319,183.706,51,3,15.36
El Hob El Kebir,Ragheb Alama,El Hob El Kebir,2004-01-01,315640,4,0.621,0.965,G,-3.887,Minor,0.0431,0.00248,0.000169,0.119,0.809,144.971,47,5,15.64
Dhun,Ravi Shankar,The Ravi Shankar Collection: Portrait Of Genius,1969-01-01,168240,4,0.446,0.446,C# / Db,-17.428,Major,0.0665,0.218,0.272,0.186,0.862,149.163,27,2,48.24
